survived,pclass,sex,age,fare,embarked,class,who,adult_male,embark_town,alive,alone
1,1,female,35,512.3292,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,36,512.3292,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,male,35,512.3292,C,First,man,TRUE,Cherbourg,yes,TRUE
0,1,male,19,263,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,23,263,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,24,263,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,64,263,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,18,262.375,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,21,262.375,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,24,247.5208,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,50,247.5208,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,42,227.525,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,30,227.525,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,18,227.525,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,38,227.525,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,30,221.7792,S,First,man,TRUE,Southampton,no,TRUE
0,1,male,27,211.5,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,15,211.3375,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,29,211.3375,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,43,211.3375,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,31,164.8667,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,45,164.8667,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,58,153.4625,S,First,woman,FALSE,Southampton,yes,FALSE
0,1,male,38,153.4625,S,First,man,TRUE,Southampton,no,FALSE
1,1,female,40,153.4625,S,First,woman,FALSE,Southampton,yes,TRUE
0,1,female,2,151.55,S,First,child,FALSE,Southampton,no,FALSE
1,1,male,0.92,151.55,S,First,child,FALSE,Southampton,yes,FALSE
0,1,female,25,151.55,S,First,woman,FALSE,Southampton,no,FALSE
1,1,female,22,151.55,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,30,146.5208,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,58,146.5208,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,35,135.6333,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,36,135.6333,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,22,135.6333,C,First,man,TRUE,Cherbourg,no,TRUE
1,1,female,40,134.5,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,41,134.5,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,female,30,133.65,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,50,133.65,S,First,man,TRUE,Southampton,yes,FALSE
1,1,male,36,120,S,First,man,TRUE,Southampton,yes,FALSE
1,1,female,14,120,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,36,120,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,male,11,120,S,First,child,FALSE,Southampton,yes,FALSE
1,1,female,31,113.275,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,female,23,113.275,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,58,113.275,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,110.8833,C,First,woman,FALSE,Cherbourg,yes,TRUE
1,1,male,17,110.8833,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,female,39,110.8833,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,49,110.8833,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,17,108.9,C,First,woman,FALSE,Cherbourg,yes,FALSE
0,1,male,18,108.9,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,106.425,C,First,woman,FALSE,Cherbourg,yes,TRUE
0,1,male,50,106.425,C,First,man,TRUE,Cherbourg,no,FALSE
1,1,female,30,93.5,S,First,woman,FALSE,Southampton,yes,TRUE
1,1,female,52,93.5,S,First,woman,FALSE,Southampton,yes,FALSE
1,1,female,19,91.0792,C,First,woman,FALSE,Cherbourg,yes,FALSE
1,1,male,25,91.0792,C,First,man,TRUE,Cherbourg,yes,FALSE
1,1,male,38,90,S,First,man,TRUE,Southampton,yes,FALSE
0,1,male,44,90,Q,First,man,TRUE,Queenstown,no,FALSE
1,1,female,33,90,Q,First,woman,FALSE,Queenstown,yes,FALSE
1,1,female,35,90,S,First,woman,FALSE,Southampton,yes,FALSE
